From,Entry,Entry Name,Domain [FT],Organism,Protein families,Gene Names
1h1r,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1h1s,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
1h1s,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1h24,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
1h24,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1h24,Q01094,E2F1_HUMAN,,Homo sapiens (Human),E2F/DP family,E2F1 RBBP3
1h25,P06400,RB_HUMAN,,Homo sapiens (Human),Retinoblastoma protein (RB) family,RB1
1h25,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
1h25,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1h26,P04637,P53_HUMAN,,Homo sapiens (Human),P53 family,TP53 P53
1h26,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
1h26,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1h27,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
1h27,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1h27,P46527,CDN1B_HUMAN,,Homo sapiens (Human),CDI family,CDKN1B KIP1 p27
1h28,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
1h28,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1h28,P28749,RBL1_HUMAN,,Homo sapiens (Human),Retinoblastoma protein (RB) family,RBL1
1h4l,Q00535,CDK5_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK5 CDKN5 PSSALRE
1h4l,Q15078,CD5R1_HUMAN,,Homo sapiens (Human),Cyclin-dependent kinase 5 activator family,CDK5R1 CDK5R NCK5A
1h8f,P49841,GSK3B_HUMAN,"DOMAIN 56..340; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",GSK3B
1hck,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1hcl,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1he8,P01112,RASH_HUMAN,,Homo sapiens (Human),"Small GTPase superfamily, Ras family",HRAS HRAS1
1he8,P48736,PK3CG_HUMAN,"DOMAIN 34..141; /note=""PI3K-ABD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00877""; DOMAIN 217..309; /note=""PI3K-RBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00879""; DOMAIN 357..521; /note=""C2 PI3K-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00880""; DOMAIN 541..723; /note=""PIK helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00878""; DOMAIN 797..1080; /note=""PI3K/PI4K catalytic""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00269""",Homo sapiens (Human),PI3/PI4-kinase family,PIK3CG
1i09,P49841,GSK3B_HUMAN,"DOMAIN 56..340; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",GSK3B
1i44,P06213,INSR_HUMAN,"DOMAIN 624..726; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 757..842; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 853..947; /note=""Fibronectin type-III 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 1023..1298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",INSR
1ia9,Q923J1,TRPM7_MOUSE,"DOMAIN 1592..1822; /note=""Alpha-type protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00501""",Mus musculus (Mouse),"Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily; Transient receptor (TC 1.A.4) family, LTrpC subfamily, TRPM7 sub-subfamily",Trpm7 Chak Ltrpc7
1iah,Q923J1,TRPM7_MOUSE,"DOMAIN 1592..1822; /note=""Alpha-type protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00501""",Mus musculus (Mouse),"Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily; Transient receptor (TC 1.A.4) family, LTrpC subfamily, TRPM7 sub-subfamily",Trpm7 Chak Ltrpc7
1iaj,Q923J1,TRPM7_MOUSE,"DOMAIN 1592..1822; /note=""Alpha-type protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00501""",Mus musculus (Mouse),"Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily; Transient receptor (TC 1.A.4) family, LTrpC subfamily, TRPM7 sub-subfamily",Trpm7 Chak Ltrpc7
1ian,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1ias,P36897,TGFR1_HUMAN,"DOMAIN 175..204; /note=""GS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00585""; DOMAIN 205..495; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",TGFBR1 ALK5 SKR4
1iep,P00520,ABL1_MOUSE,"DOMAIN 61..121; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 127..217; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 242..493; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, Tyr protein kinase family, ABL subfamily",Abl1 Abl
1ig1,P53355,DAPK1_HUMAN,"DOMAIN 13..275; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 681..955; /note=""Roc""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00758""; DOMAIN 1312..1396; /note=""Death""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00064""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",DAPK1 DAPK
1ir3,P06213,INSR_HUMAN,"DOMAIN 624..726; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 757..842; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 853..947; /note=""Fibronectin type-III 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 1023..1298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",INSR
1irk,P06213,INSR_HUMAN,"DOMAIN 624..726; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 757..842; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 853..947; /note=""Fibronectin type-III 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 1023..1298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",INSR
1j1b,P49841,GSK3B_HUMAN,"DOMAIN 56..340; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",GSK3B
1j1c,P49841,GSK3B_HUMAN,"DOMAIN 56..340; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",GSK3B
1j3h,P05132,KAPCA_MOUSE,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Mus musculus (Mouse),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",Prkaca Pkaca
1j7i,P0A3Y5,KKA3_ENTFL,,Enterococcus faecalis (Streptococcus faecalis),Aminoglycoside phosphotransferase family,aphA
1j7l,P0A3Y5,KKA3_ENTFL,,Enterococcus faecalis (Streptococcus faecalis),Aminoglycoside phosphotransferase family,aphA
1j7u,P0A3Y5,KKA3_ENTFL,,Enterococcus faecalis (Streptococcus faecalis),Aminoglycoside phosphotransferase family,aphA
1j91,P28523,CSK2A_MAIZE,"DOMAIN 34..319; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Zea mays (Maize),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",ACK2
1jam,P28523,CSK2A_MAIZE,"DOMAIN 34..319; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Zea mays (Maize),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",ACK2
1jkk,P53355,DAPK1_HUMAN,"DOMAIN 13..275; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 681..955; /note=""Roc""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00758""; DOMAIN 1312..1396; /note=""Death""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00064""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",DAPK1 DAPK
1jkl,P53355,DAPK1_HUMAN,"DOMAIN 13..275; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 681..955; /note=""Roc""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00758""; DOMAIN 1312..1396; /note=""Death""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00064""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",DAPK1 DAPK
1jkt,P53355,DAPK1_HUMAN,"DOMAIN 13..275; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 681..955; /note=""Roc""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00758""; DOMAIN 1312..1396; /note=""Death""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00064""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",DAPK1 DAPK
1jnk,P53779,MK10_HUMAN,"DOMAIN 64..359; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK10 JNK3 JNK3A PRKM10 SAPK1B
1jow,Q01043,CGH2_SHV21,,Saimiriine herpesvirus 2 (strain 11) (SaHV-2) (Herpesvirus saimiri),"Cyclin family, Cyclin D subfamily",72 ECLF2
1jow,Q00534,CDK6_HUMAN,"DOMAIN 13..300; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK6 CDKN6
1jpa,P54763,EPHB2_MOUSE,"DOMAIN 20..202; /note=""Eph LBD""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00883""; DOMAIN 324..434; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 435..530; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 621..884; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 913..977; /note=""SAM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00184""",Mus musculus (Mouse),"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily",Ephb2 Epth3 Nuk Sek3
1jqh,P08069,IGF1R_HUMAN,"DOMAIN 491..609; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 610..708; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 735..828; /note=""Fibronectin type-III 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 834..927; /note=""Fibronectin type-III 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 999..1274; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",IGF1R
1jst,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
1jst,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1jsu,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
1jsu,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1jsu,P46527,CDN1B_HUMAN,,Homo sapiens (Human),CDI family,CDKN1B KIP1 p27
1jsv,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1jwh,P67870,CSK2B_HUMAN,,Homo sapiens (Human),Casein kinase 2 subunit beta family,CSNK2B CK2N G5A
1jwh,P68400,CSK21_HUMAN,"DOMAIN 39..324; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",CSNK2A1 CK2A1
1k2p,Q06187,BTK_HUMAN,"DOMAIN 3..133; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 214..274; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 281..377; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 402..655; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",BTK AGMX1 ATK BPK
1k3a,P08069,IGF1R_HUMAN,"DOMAIN 491..609; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 610..708; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 735..828; /note=""Fibronectin type-III 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 834..927; /note=""Fibronectin type-III 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 999..1274; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",IGF1R
1k3a,P35568,IRS1_HUMAN,"DOMAIN 12..115; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 160..264; /note=""IRS-type PTB""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00389""",Homo sapiens (Human),,IRS1
1ke5,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1ke6,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1ke7,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1ke8,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1ke9,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1kob,Q16980,Q16980_APLCA,"DOMAIN 47..302; /note=""Protein kinase""; /evidence=""ECO:0000259|PROSITE:PS50011""",Aplysia californica (California sea hare),,
1ksw,P12931,SRC_HUMAN,"DOMAIN 84..145; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 151..248; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 270..523; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",SRC SRC1
1kv1,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1kv2,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1kwp,P49137,MAPK2_HUMAN,"DOMAIN 64..325; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family",MAPKAPK2
1l8t,P0A3Y5,KKA3_ENTFL,,Enterococcus faecalis (Streptococcus faecalis),Aminoglycoside phosphotransferase family,aphA
1lew,P47811,MK14_MOUSE,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Mapk14 Crk1 Csbp1 Csbp2
1lew,Q02078,MEF2A_HUMAN,"DOMAIN 3..57; /note=""MADS-box""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00251""",Homo sapiens (Human),MEF2 family,MEF2A MEF2
1lez,O09110,MP2K3_MOUSE,"DOMAIN 64..325; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",Map2k3 Mkk3 Prkmk3
1lez,P47811,MK14_MOUSE,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Mapk14 Crk1 Csbp1 Csbp2
1lp4,P28523,CSK2A_MAIZE,"DOMAIN 34..319; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Zea mays (Maize),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",ACK2
1lpu,P28523,CSK2A_MAIZE,"DOMAIN 34..319; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Zea mays (Maize),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",ACK2
1lr4,P28523,CSK2A_MAIZE,"DOMAIN 34..319; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Zea mays (Maize),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",ACK2
1m14,P00533,EGFR_HUMAN,"DOMAIN 712..979; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily",EGFR ERBB ERBB1 HER1
1m17,P00533,EGFR_HUMAN,"DOMAIN 712..979; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily",EGFR ERBB ERBB1 HER1
1m2p,P28523,CSK2A_MAIZE,"DOMAIN 34..319; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Zea mays (Maize),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",ACK2
1m2q,P28523,CSK2A_MAIZE,"DOMAIN 34..319; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Zea mays (Maize),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",ACK2
1m52,P00520,ABL1_MOUSE,"DOMAIN 61..121; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 127..217; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 242..493; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, Tyr protein kinase family, ABL subfamily",Abl1 Abl
1m7n,P08069,IGF1R_HUMAN,"DOMAIN 491..609; /note=""Fibronectin type-III 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 610..708; /note=""Fibronectin type-III 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 735..828; /note=""Fibronectin type-III 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 834..927; /note=""Fibronectin type-III 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00316""; DOMAIN 999..1274; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",IGF1R
1m7q,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
